OID_,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Zone_Desc,Urban_Label,Shape_Length,Shape_Area,shape_wkt
1,CC,Mission Hill Neighborhood,6D,59,Business,Art59_CC,3.000000000000000,Community Commercial,ART59-SUB008-0,0.004947616838401,0.000001290806813,
2,WM,South Boston Neighborhood,4F,68,Industrial,Art68_WM,2.000000000000000,Waterfront Manufacturing,ART68-SUB009-0,0.030529179110775,0.000041863928427,
3,M-4,South Boston,4,Underlying Zoning,Industrial,ArtUnderlying Zoning_M-4,4.000000000000000,Restricted Manufacturing,ARTUZ-SUB031-0,0.011003212988399,0.000004722389088,"MULTIPOLYGON (((-71.042137964999938 42.346248247000062, -71.04545073099996 42.347945363000065, -71.04598929499997 42.347484910000048, -71.044491310999945 42.346522667000045, -71.045212620999962 42.345934179000039, -71.043680629999983 42.34492984600007, -71.042137964999938 42.346248247000062)))"
4,D St. NDA,South Boston Neighborhood,4F,68,Mixed Use,Art68_D St. NDA,2.000000000000000,Neighborhood Development Area,ART68-SUB001-0,0.017166115826329,0.000006929579950,
5,SUMMER ST. LI,South Boston Neighborhood,4F,68,Industrial,Art68_SUMMER ST. LI,3.000000000000000,Local Industrial,ART68-SUB007-0,0.010081911028861,0.000005794007307,
6,E St. LI,South Boston Neighborhood,4F,68,Industrial,Art68_E St. LI,2.000000000000000,Local Industrial,ART68-SUB002-0,0.016303443806999,0.000006144306121,
7,WC,South Boston Neighborhood,4F,68,Business,Art68_WC,2.000000000000000,Waterfront Commercial,ART68-SUB008-0,0.009092842452537,0.000003446763712,"MULTIPOLYGON (((-71.041568989999973 42.344417601000032, -71.038780395999936 42.342744903000039, -71.038697610999975 42.342907628000034, -71.03872481999997 42.34364567700004, -71.038078858999938 42.343659857000034, -71.040598790999979 42.345263241000055, -71.041425797999977 42.344539962000056, -71.041568989999973 42.344417601000032)))"
8,I-2,South Boston,4,Underlying Zoning,Industrial,ArtUnderlying Zoning_I-2,2.000000000000000,General Industrial,ARTUZ-SUB023-0,0.030497302370672,0.000033924456350,
9,First St. LI,South Boston Neighborhood,4F,68,Industrial,Art68_First St. LI,2.000000000000000,Local Industrial,ART68-SUB003-0,0.022783128313906,0.000010211692565,
10,EDA CENTRAL,South End Neighborhood,1P,64,Miscellaneous,Art64_EDA CENTRAL,4.000000000000000,Economic Development Area,ART64-SUB004-0,0.029605894576281,0.000013456541263,
11,SOUTH BOYLSTON NS-3,Fenway Neighborhood,1Q,66,Business,Art66_SOUTH BOYLSTON NS-3,5.000000000000000,Neighborhood Shopping,ART66-SUB019-0,0.003299890648634,0.000000451553696,"MULTIPOLYGON (((-71.097530952999989 42.344157554000049, -71.096282469999949 42.344500979000031, -71.096440988999973 42.344816575000038, -71.097689712999966 42.344478689000027, -71.097530952999989 42.344157554000049)))"
12,NORTH BOYLSTON NS-3,Fenway Neighborhood,1Q,66,Business,Art66_NORTH BOYLSTON NS-3,5.000000000000000,Neighborhood Shopping,ART66-SUB012-0,0.006422410685571,0.000002093391728,
13,NEPOSET SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Art42A_NEPOSET SHORELAND OPEN SPACE SUBDISTRICT,,Shoreland Open Space,ART42A-SUB017-0,0.049487143241747,0.000058183774898,
14,CEDAR GROVE GENERAL BUSINESS SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Art42A_CEDAR GROVE GENERAL BUSINESS SUBDISTRICT,1.000000000000000,General Business,ART42A-SUB002-0,0.003165431966448,0.000000373374378,"MULTIPOLYGON (((-71.047295295999959 42.280839852000042, -71.047265603999961 42.280825709000055, -71.046878223999954 42.280655478000028, -71.04684092399998 42.280639087000054, -71.046638953999945 42.280899199000032, -71.046144905999938 42.281526370000051, -71.046197524999968 42.281546300000059, -71.046470847999956 42.281649824000056, -71.046648931999982 42.281280123000045, -71.047295295999959 42.280839852000042)))"
15,NEPONSET RIVER RESIDENTIAL SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Art42A_NEPONSET RIVER RESIDENTIAL SUBDISTRICT,1.000000000000000,Residential,ART42A-SUB016-0,0.010144490591595,0.000004107547224,
16,LOWER MILLS SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Art42A_LOWER MILLS SHORELAND OPEN SPACE SUBDISTRICT,,Shoreland Open Space,ART42A-SUB011-0,0.040062480577426,0.000051513939382,
17,OS-SL,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Art42A_OS-SL,,Shoreland Open Space,ART42A-SUB019-0,0.057656434664018,0.000111750529903,
18,CLAM POINT WATERFRONT SERVICE,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Art42A_CLAM POINT WATERFRONT SERVICE,1.000000000000000,Waterfront Service,ART42A-SUB005-0,0.042425281056539,0.000055138266357,
19,OS-SL,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Art42A_OS-SL,,Shoreland Open Space,ART42A-SUB019-0,0.020143815233701,0.000020148720269,
20,DORCHESTER BAY WATERFRONT SERVICE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Art42A_DORCHESTER BAY WATERFRONT SERVICE SUBDISTRICT,1.000000000000000,Waterfront Service,ART42A-SUB006-0,0.010873567121001,0.000007030173316,
21,CPS,Jamaica Plain Neighborhood,9A-9C,55,Miscellaneous,Art55_CPS,0.300000000000000,Conservation Protection,ART55-SUB012-0,0.013084412406760,0.000007188842335,
22,1F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_1F-5000,0.500000000000000,One-Family Residential,ART55-SUB003-0,0.014873168215682,0.000006568558929,
23,2F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_2F-5000,0.600000000000000,Two-Family Residential,ART55-SUB007-0,0.005210447061566,0.000001502716829,
24,OS-BZ,Jamaica Plain Neighborhood,9A-9C,55,Open Space,Art55_OS-BZ,,Botanical/Zoological Garden Open Space,ART55-SUB023-0,0.010704536993682,0.000003373662583,
25,2F-7000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_2F-7000,0.500000000000000,Two-Family Residential,ART55-SUB008-0,0.010391768502878,0.000002286712879,
26,2F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_2F-5000,0.600000000000000,Two-Family Residential,ART55-SUB007-0,0.017033411322360,0.000011301718518,
27,1F-4000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_1F-4000,0.600000000000000,One-Family Residential,ART55-SUB002-0,0.007453077146478,0.000002897246090,
28,2F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_2F-5000,0.600000000000000,Two-Family Residential,ART55-SUB007-0,0.017907753561490,0.000011679887842,
29,1F-4000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_1F-4000,0.600000000000000,One-Family Residential,ART55-SUB002-0,0.023940017975081,0.000021777369446,
30,3F-4000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_3F-4000,0.800000000000000,Three-Family Residential,ART55-SUB010-0,0.012746223428242,0.000004430786894,
31,OS-RC,Jamaica Plain Neighborhood,9A-9C,55,Open Space,Art55_OS-RC,,Recreation Open Space,ART55-SUB027-0,0.005598465135855,0.000001769460811,
32,MFR,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_MFR,1.000000000000000,Multifamily Residential,ART55-SUB016-0,0.005314015390184,0.000001245894664,
33,3F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_3F-5000,0.600000000000000,Three-Family Residential,ART55-SUB011-0,0.041394395174418,0.000025410025712,
34,CPS,Jamaica Plain Neighborhood,9A-9C,55,Miscellaneous,Art55_CPS,0.300000000000000,Conservation Protection,ART55-SUB012-0,0.035015714183908,0.000045041894951,
35,1F-9000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_1F-9000,0.300000000000000,One-Family Residential,ART55-SUB005-0,0.064615533029633,0.000096409123842,
36,IDA,Jamaica Plain Neighborhood,9A-9C,55,Industrial,Art55_IDA,2.000000000000000,Industrial Development Area,ART55-SUB013-0,0.009507544265158,0.000002985462370,
37,NI,Jamaica Plain Neighborhood,9A-9C,55,Comm/Instit,Art55_NI,0.600000000000000,Neighborhood Institutional,ART55-SUB017-0,0.012908916901983,0.000008589952208,
38,LC,Jamaica Plain Neighborhood,9A-9C,55,Business,Art55_LC,1.000000000000000,Local Convenience,ART55-SUB014-0,0.021575047003181,0.000005138716072,
39,CPS,Jamaica Plain Neighborhood,9A-9C,55,Miscellaneous,Art55_CPS,0.300000000000000,Conservation Protection,ART55-SUB012-0,0.014544680271383,0.000011797679250,
40,3F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Art55_3F-5000,0.600000000000000,Three-Family Residential,ART55-SUB011-0,0.063877743073125,0.000034295757221,
41,2F-5000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_2F-5000,0.500000000000000,Two-Family Residential,ART67-SUB002-0,0.194800998132330,0.000233972297225,
42,IS,Roslindale Neighborhood,10A-10B,67,Comm/Instit,Art67_IS,0.400000000000000,Institutional,ART67-SUB007-0,0.010725242267256,0.000005437202278,
43,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.014927717623418,0.000007670433663,
44,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.016347096365400,0.000004458810861,
45,OS-CM,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-CM,,Cemetery Open Space,ART67-SUB012-0,0.002819585867138,0.000000380551603,
46,OS-UW,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-UW,,Urban Wild Open Space,ART67-SUB016-0,0.016895824904382,0.000003133271770,
47,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.000965752961677,0.000000048959807,"MULTIPOLYGON (((-71.132214269999963 42.293305310000051, -71.132491579999964 42.293471601000078, -71.132611678999979 42.293366891000062, -71.132332044999941 42.293200485000057, -71.132214269999963 42.293305310000051)))"
48,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.000972401917953,0.000000049381891,"MULTIPOLYGON (((-71.132449473999941 42.293095967000056, -71.132167159999938 42.292927275000068, -71.13204964199997 42.293032442000026, -71.132332044999941 42.293200485000057, -71.132449473999941 42.293095967000056)))"
49,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.000991951117919,0.000000052548745,"MULTIPOLYGON (((-71.132844519999935 42.293163879000076, -71.132972343999938 42.293052427000077, -71.132689820999985 42.292882033000069, -71.132566284999939 42.292991996000069, -71.132844519999935 42.293163879000076)))"
50,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.000981134119360,0.000000050378585,"MULTIPOLYGON (((-71.132806798999979 42.292777908000062, -71.132928043999982 42.292670011000041, -71.132641501999956 42.292502798000044, -71.132524314999955 42.292607622000048, -71.132806798999979 42.292777908000062)))"
51,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.002451649404553,0.000000369120111,"MULTIPOLYGON (((-71.131118675999971 42.294274642000062, -71.131548883999983 42.294285268000067, -71.131660516999943 42.294287417000078, -71.131664514999954 42.293600114000071, -71.131567770999936 42.293600443000059, -71.131131846999949 42.293585395000036, -71.131130292999956 42.293722703000071, -71.131128919999981 42.293738380000036, -71.131123909999985 42.294005944000048, -71.131118675999971 42.294274642000062)))"
52,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.005452478363932,0.000000968140683,
53,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.002800893577009,0.000000364608378,"MULTIPOLYGON (((-71.131674691999933 42.291776811000034, -71.131975097999941 42.291947103000041, -71.132257576999962 42.292106872000033, -71.132562976999964 42.29227979500007, -71.132799286999955 42.292077970000037, -71.132838148999951 42.292038546000072, -71.13194047099995 42.291513631000043, -71.131895606999933 42.291561106000074, -71.131799215999933 42.291655349000052, -71.131674691999933 42.291776811000034)))"
54,LI,Roslindale Neighborhood,10A-10B,67,Industrial,Art67_LI,1.000000000000000,Local Industrial,ART67-SUB009-0,0.003033822347455,0.000000485019628,"MULTIPOLYGON (((-71.117542777999972 42.29514178200003, -71.117353957999967 42.295482178000043, -71.117339972999957 42.295504896000068, -71.117755826999939 42.29570521800008, -71.118010139999967 42.295831614000065, -71.118103498999972 42.295881786000052, -71.11842816099994 42.295570533000046, -71.118593559999965 42.295411963000049, -71.118466474999934 42.295393474000036, -71.118402555999978 42.29536114900003, -71.11769331499994 42.295184125000048, -71.117542777999972 42.29514178200003)))"
55,LI,Roslindale Neighborhood,10A-10B,67,Industrial,Art67_LI,1.000000000000000,Local Industrial,ART67-SUB009-0,0.004458988991034,0.000000931745069,
56,2F-5000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_2F-5000,0.500000000000000,Two-Family Residential,ART67-SUB002-0,0.086507689528710,0.000094606051763,
57,LC,Roslindale Neighborhood,10A-10B,67,Business,Art67_LC,0.500000000000000,Local Convenience,ART67-SUB008-0,0.005134750572973,0.000001137882582,
58,MFR,Roslindale Neighborhood,10A-10B,67,Residential,Art67_MFR,1.000000000000000,Multifamily Residential,ART67-SUB010-0,0.026819185494582,0.000010789082854,
59,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_3F-4000,0.800000000000000,Three-Family Residential,ART67-SUB003-0,0.027570624940998,0.000016809310576,
60,OS-RC,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-RC,,Recreation Open Space,ART67-SUB014-0,0.009687050862754,0.000004589784732,
61,NS,Roslindale Neighborhood,10A-10B,67,Business,Art67_NS,1.000000000000000,Neighborhood Shopping,ART67-SUB011-0,0.005516380005698,0.000000806731846,
62,CC-1,Roslindale Neighborhood,10A-10B,67,Business,Art67_CC-1,1.000000000000000,Community Commercial,ART67-SUB004-0,0.034706488885993,0.000007734845014,
63,OS-UP,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-UP,,Urban Plaza Open Space,ART67-SUB015-0,0.001071037644913,0.000000042736201,
64,NS,Roslindale Neighborhood,10A-10B,67,Business,Art67_NS,1.000000000000000,Neighborhood Shopping,ART67-SUB011-0,0.007489729801115,0.000001469059024,
65,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_3F-4000,0.800000000000000,Three-Family Residential,ART67-SUB003-0,0.012127736019008,0.000003300438282,
66,LC,Roslindale Neighborhood,10A-10B,67,Business,Art67_LC,0.500000000000000,Local Convenience,ART67-SUB008-0,0.004852880236812,0.000000540287383,
67,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_3F-4000,0.800000000000000,Three-Family Residential,ART67-SUB003-0,0.005254644402272,0.000000751732649,
68,NS,Roslindale Neighborhood,10A-10B,67,Business,Art67_NS,1.000000000000000,Neighborhood Shopping,ART67-SUB011-0,0.003190811042437,0.000000556858051,
69,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_3F-4000,0.800000000000000,Three-Family Residential,ART67-SUB003-0,0.009601864688440,0.000002357465651,
70,NS,Roslindale Neighborhood,10A-10B,67,Business,Art67_NS,1.000000000000000,Neighborhood Shopping,ART67-SUB011-0,0.008235877803821,0.000001020502411,
71,NS,Roslindale Neighborhood,10A-10B,67,Business,Art67_NS,1.000000000000000,Neighborhood Shopping,ART67-SUB011-0,0.003821495522267,0.000000707535379,
72,OS-RC,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-RC,,Recreation Open Space,ART67-SUB014-0,0.008276511853191,0.000003685859950,
73,LC,Roslindale Neighborhood,10A-10B,67,Business,Art67_LC,0.500000000000000,Local Convenience,ART67-SUB008-0,0.004499774045395,0.000000518385679,
74,OS-UP,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-UP,,Urban Plaza Open Space,ART67-SUB015-0,0.000491303121749,0.000000012363387,"MULTIPOLYGON (((-71.134264543999961 42.288758985000072, -71.134247749999986 42.288724946000059, -71.134211487999949 42.288732049000032, -71.134162160999949 42.288740482000037, -71.134118851999972 42.288746510000067, -71.134068959999979 42.288751897000054, -71.134079309999947 42.288822347000064, -71.134133928999972 42.288822521000043, -71.134171804999937 42.288811723000038, -71.134218137999937 42.288791593000042, -71.134264543999961 42.288758985000072)))"
75,CC-2,Roslindale Neighborhood,10A-10B,67,Business,Art67_CC-2,2.000000000000000,Community Commercial,ART67-SUB005-0,0.006722411699405,0.000001578746418,
76,OS-UP,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-UP,,Urban Plaza Open Space,ART67-SUB015-0,0.000709335648525,0.000000028052321,
77,OS-P,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-P,,Parkland Open Space,ART67-SUB013-0,0.003033895795329,0.000000466949746,
78,OS-UP,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-UP,,Urban Plaza Open Space,ART67-SUB015-0,0.000908483813316,0.000000031827438,
79,NS,Roslindale Neighborhood,10A-10B,67,Business,Art67_NS,1.000000000000000,Neighborhood Shopping,ART67-SUB011-0,0.004985916643628,0.000001007862969,
80,OS-CM,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-CM,,Cemetery Open Space,ART67-SUB012-0,0.009299132788571,0.000004618316776,
81,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.011469490152059,0.000003681952213,
82,CC-1,Roslindale Neighborhood,10A-10B,67,Business,Art67_CC-1,1.000000000000000,Community Commercial,ART67-SUB004-0,0.025752735955838,0.000018699929767,
83,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.010659322853059,0.000003048449014,
84,OS-CM,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-CM,,Cemetery Open Space,ART67-SUB012-0,0.044866259717146,0.000078922399017,
85,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.010128795364302,0.000002408732224,
86,LC,Roslindale Neighborhood,10A-10B,67,Business,Art67_LC,0.500000000000000,Local Convenience,ART67-SUB008-0,0.002518077584409,0.000000292582318,"MULTIPOLYGON (((-71.125106629999948 42.284474537000051, -71.125410622999937 42.284695369000076, -71.12574288199994 42.28493672500008, -71.125821230999975 42.284985591000066, -71.125901764999981 42.284924371000045, -71.126112880999983 42.284775988000035, -71.126091149999979 42.284761610000032, -71.125775186999988 42.284526279000033, -71.125737860999948 42.284556732000055, -71.12538716399996 42.284290637000026, -71.125342986999954 42.284261021000077, -71.125106629999948 42.284474537000051)))"
87,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.017783206097226,0.000010769333206,
88,LC,Roslindale Neighborhood,10A-10B,67,Business,Art67_LC,0.500000000000000,Local Convenience,ART67-SUB008-0,0.007406327890301,0.000001447869090,
89,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.008421183057451,0.000003085354636,
90,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.023403922348495,0.000021724287973,
91,OS-UW,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-UW,,Urban Wild Open Space,ART67-SUB016-0,0.016762382097445,0.000013250261294,
92,MFR,Roslindale Neighborhood,10A-10B,67,Residential,Art67_MFR,1.000000000000000,Multifamily Residential,ART67-SUB010-0,0.023469248499795,0.000020584448145,
93,CC-1,Roslindale Neighborhood,10A-10B,67,Business,Art67_CC-1,1.000000000000000,Community Commercial,ART67-SUB004-0,0.006836342969306,0.000002400949789,
94,NS,Roslindale Neighborhood,10A-10B,67,Business,Art67_NS,1.000000000000000,Neighborhood Shopping,ART67-SUB011-0,0.004916391534575,0.000000938478163,
95,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_3F-4000,0.800000000000000,Three-Family Residential,ART67-SUB003-0,0.010082350994042,0.000003624432058,
96,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.003677721988384,0.000000832085758,"MULTIPOLYGON (((-71.120672465999974 42.280673301000036, -71.119887547999951 42.280346110000039, -71.119863495999937 42.280430309000053, -71.119820950999951 42.280838887000073, -71.119813950999969 42.280911376000063, -71.119774887999938 42.281483695000077, -71.120589975999962 42.281535160000033, -71.120672465999974 42.280673301000036)))"
97,NS,Roslindale Neighborhood,10A-10B,67,Business,Art67_NS,1.000000000000000,Neighborhood Shopping,ART67-SUB011-0,0.006871664656854,0.000002364230674,
98,MFR,Roslindale Neighborhood,10A-10B,67,Residential,Art67_MFR,1.000000000000000,Multifamily Residential,ART67-SUB010-0,0.008717779316502,0.000002669359891,
99,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.059149938128182,0.000069824890731,
100,OS-P,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-P,,Parkland Open Space,ART67-SUB013-0,0.004239118567819,0.000000226349673,"MULTIPOLYGON (((-71.125323102999971 42.280658566000056, -71.12539144699997 42.280695815000058, -71.125998564999975 42.280129484000042, -71.126876566999954 42.279400422000037, -71.126868552999952 42.279346796000027, -71.126841165999963 42.279327822000027, -71.126800988999946 42.279334301000063, -71.125947052999948 42.280027233000055, -71.125272464999966 42.280622568000069, -71.125323102999971 42.280658566000056)))"
101,OS-P,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-P,,Parkland Open Space,ART67-SUB013-0,0.001987040772206,0.000000190173815,"MULTIPOLYGON (((-71.126573857999972 42.280470665000053, -71.126032367999983 42.280958697000074, -71.126078254999982 42.280976846000044, -71.126306796999984 42.281068177000066, -71.12657685299996 42.280832776000068, -71.12670124999994 42.280729047000079, -71.126815900999986 42.280621481000026, -71.126573857999972 42.280470665000053)))"
102,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.009097158653595,0.000001397586048,
103,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.008229546426200,0.000003146633669,
104,2F-5000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_2F-5000,0.500000000000000,Two-Family Residential,ART67-SUB002-0,0.011301188361390,0.000006516443654,
105,OS-RC,Roslindale Neighborhood,10A-10B,67,Open Space,Art67_OS-RC,,Recreation Open Space,ART67-SUB014-0,0.007691853083303,0.000003256505936,
106,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Art67_CPS,0.300000000000000,Conservation Protection,ART67-SUB006-0,0.004042158145395,0.000000496069311,"MULTIPOLYGON (((-71.122392574999935 42.270022200000028, -71.122519785999941 42.269418542000039, -71.122146846999954 42.269364118000055, -71.121927881999966 42.270377490000044, -71.122140050999974 42.270408272000054, -71.122017265999943 42.270954758000073, -71.122011046999944 42.271007792000034, -71.122140491999971 42.271031200000039, -71.122185395999963 42.270994588000065, -71.122392574999935 42.270022200000028)))"
107,LI,Roslindale Neighborhood,10A-10B,67,Industrial,Art67_LI,1.000000000000000,Local Industrial,ART67-SUB009-0,0.010855795700675,0.000003653742954,
108,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_3F-4000,0.800000000000000,Three-Family Residential,ART67-SUB003-0,0.003587049211956,0.000000664026775,
109,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Art67_1F-6000,0.500000000000000,One-Family Residential,ART67-SUB001-0,0.015924417197193,0.000008969416517,
110,MFR,Roslindale Neighborhood,10A-10B,67,Residential,Art67_MFR,1.000000000000000,Multifamily Residential,ART67-SUB010-0,0.008570232036126,0.000002496275744,
111,CEDAR GROVE WATERFRONT MANUFACTURING SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Industrial,Art42A_CEDAR GROVE WATERFRONT MANUFACTURING SUBDISTRICT,1.000000000000000,Waterfront Manufacturing,ART42A-SUB003-0,0.002995719600442,0.000000394998211,
112,NS,Jamaica Plain Neighborhood,9A-9C,55,Business,Art55_NS,2.000000000000000,Neighborhood Shopping,ART55-SUB020-0,0.008648886500916,0.000001215266434,
113,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Art65_MFR,1.000000000000000,Multifamily Residential,ART65-SUB025-0,0.003754725652094,0.000000700947587,
114,1F-6000,Hyde Park Neighborhood,12,69,Residential,Art69_1F-6000,0.500000000000000,One-Family Residential,ART69-SUB001-0,0.003205935620640,0.000000424371668,
115,OS-CM,Hyde Park Neighborhood,12,69,Open Space,Art69_OS-CM,,Cemetery Open Space,ART69-SUB012-0,0.008076078974238,0.000002911241628,"MULTIPOLYGON (((-71.11372898999997 42.27674352300005, -71.114085302999968 42.276270010000076, -71.113357331999964 42.275968739000064, -71.113213841999936 42.275649952000038, -71.113611902999935 42.275015193000058, -71.112067914999955 42.274602462000075, -71.111722218999944 42.275022471000057, -71.111307023999984 42.275590542000032, -71.11367460799994 42.276811551000037, -71.11372898999997 42.27674352300005)))"
116,MFR,Hyde Park Neighborhood,12,69,Residential,Art69_MFR,2.000000000000000,Multifamily Residential,ART69-SUB009-0,0.009857166769454,0.000005203585315,
117,NS-1,Hyde Park Neighborhood,12,69,Business,Art69_NS-1,1.000000000000000,Neighborhood Shopping,ART69-SUB010-0,0.025640083424208,0.000024234150679,
118,CPS,Hyde Park Neighborhood,12,69,Miscellaneous,Art69_CPS,0.300000000000000,Conservation Protection,ART69-SUB005-0,0.001344927694973,0.000000107012388,"MULTIPOLYGON (((-71.111301810999976 42.274152876000073, -71.111382688999981 42.274014763000025, -71.111441626999977 42.273914102000049, -71.111501301999965 42.273812192000037, -71.11123572799994 42.27372641200003, -71.111039452999933 42.274070380000069, -71.111301810999976 42.274152876000073)))"
119,1F-6000,Hyde Park Neighborhood,12,69,Residential,Art69_1F-6000,0.500000000000000,One-Family Residential,ART69-SUB001-0,0.094221657946289,0.000133870326816,
120,LC,Hyde Park Neighborhood,12,69,Business,Art69_LC,0.500000000000000,Local Convenience,ART69-SUB006-0,0.005007706468107,0.000000990705998,
121,NS-1,Hyde Park Neighborhood,12,69,Business,Art69_NS-1,1.000000000000000,Neighborhood Shopping,ART69-SUB010-0,0.006630111334882,0.000002543268376,
122,OS-P,Hyde Park Neighborhood,12,69,Open Space,Art69_OS-P,,Parkland Open Space,ART69-SUB013-0,0.009948762106399,0.000005795552591,
